state,effective_date,company_name,line_of_business,sub_type_of_insurance,overall_indicated_change,overall_rate_impact,written_premium_change,policyholders_affected,written_premium_for_program,maximum_percent_change,minimum_percent_change,rate_activity,serff_tracking_number,disposition_status,filing_date,source_pdf
ID,03/16/2026,Encompass Indemnity Company,04.0 Homeowners,04.0003 Owner Occupied Homeowners,20.600%,20.600%,626568,1825,3041592,22.500%,13.500%,rate_change,ALSE-134545996,FILED,2025-05-23,output/pdfs/ID/134545996/filing_summary.pdf
ID,09/01/2025,Encompass Indemnity Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),10.400%,10.400%,405242,785,3896556,23.700%,0.300%,rate_change,ALSE-134592232,FILED,2025-07-02,output/pdfs/ID/134592232/filing_summary.pdf
ID,06/22/2026,Encompass Indemnity Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,0,1224399,0.000%,0.000%,rate_change_pending,GMMX-134895766,PENDING,2026-04-01,output/pdfs/ID/134895766/filing_summary.pdf
ID,06/23/2025,Encompass Indemnity Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,0,3030299,0.000%,0.000%,rate_change,GMMX-134491469,FILED,2025-04-11,output/pdfs/ID/134491469/filing_summary.pdf
WA,08/01/2025,State Farm Fire and Casualty Company,04.0 Homeowners,04.0002 Mobile Homeowners,,23.900%,3367834,17873,14091908,27.700%,5.100%,rate_change,SFMA-134422784,Approved,2025-02-26,output/pdfs/WA/134422784/filing_summary.pdf
WA,09/18/2025,GEICO General Insurance Company,19.0 Personal Auto,19.0003 Recreational Vehicle (RV),0.000%,0.000%,0,2090,1077172,24.800%,-17.900%,rate_change,GECC-134628136,Approved,2025-08-07,output/pdfs/WA/134628136/filing_summary.pdf
WA,09/18/2025,Government Employees Insurance Company,19.0 Personal Auto,19.0003 Recreational Vehicle (RV),0.000%,0.000%,0,946,493777,24.400%,-17.500%,rate_change,GECC-134628136,Approved,2025-08-07,output/pdfs/WA/134628136/filing_summary.pdf
WA,09/18/2025,GEICO Indemnity Company,19.0 Personal Auto,19.0003 Recreational Vehicle (RV),0.000%,0.000%,0,468,313322,22.000%,-15.200%,rate_change,GECC-134629877,Approved,2025-08-07,output/pdfs/WA/134629877/filing_summary.pdf
WA,09/18/2025,GEICO Advantage Insurance Company,19.0 Personal Auto,19.0003 Recreational Vehicle (RV),0.000%,0.000%,0,6838,3570611,22.700%,-18.900%,rate_change,GECC-134629950,Approved,2025-08-07,output/pdfs/WA/134629950/filing_summary.pdf
WA,09/18/2025,GEICO Choice Insurance Company,19.0 Personal Auto,19.0003 Recreational Vehicle (RV),0.000%,0.000%,0,1090,851643,22.200%,-19.000%,rate_change,GECC-134629950,Approved,2025-08-07,output/pdfs/WA/134629950/filing_summary.pdf
