date,game_id,home_team,away_team,venue,home_edge_score,away_edge_score,edge_diff,ou_score,ou_convergence_boost,model_total,actual_total,home_score,away_score,home_won,bet_signal,bet_side,model_win_prob,diff_signal,diff_side,ou_signal,ml_result,diff_result,ou_result,home_zone,home_pitch,home_walk,home_hand,away_zone,away_pitch,away_walk,away_hand,park_factor,park_weather_adj,home_bp_mod,away_bp_mod,home_bullpen_score,away_bullpen_score
2024-03-30,746818,Chicago White Sox,Detroit Tigers,Guaranteed Rate Field,57.52,37.93,19.6,49.7,0.0,8.9,13,6,7,False,NO BET,,,HOME,HOME,NO BET,NO BET,LOSS,NO BET,23.177000000000003,13.390666666666666,11.286,6.666666666666666,10.596250000000001,17.49,3.179333333333333,6.666666666666666,1.0,0,0.0,0.0,55.0,55.0
2024-03-30,747063,Baltimore Orioles,Los Angeles Angels,Oriole Park at Camden Yards,48.63,40.12,8.5,49.6,0.0,8.9,17,13,4,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,15.888250000000001,7.201333333333333,14.212,8.333333333333332,19.8695,5.866666666666666,7.7139999999999995,6.666666666666666,1.0,0,0.0,0.0,55.0,55.0
2024-03-30,745599,Philadelphia Phillies,Atlanta Braves,Citizens Bank Park,34.23,39.72,5.5,54.5,3.0,9.4,16,4,12,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,0.0,6.966666666666666,17.594,6.666666666666666,11.919250000000002,9.423333333333332,13.376,5.0,1.0,0,0.0,0.0,55.0,55.0
2024-03-30,745684,Oakland Athletics,Cleveland Guardians,Oakland Coliseum,29.0,49.82,20.8,63.3,0.0,9.7,15,3,12,False,NO BET,,,AWAY,AWAY,NO BET,NO BET,WIN,NO BET,0.0,14.989333333333333,6.308,6.666666666666666,18.5465,12.481333333333332,15.871333333333332,6.666666666666666,1.14,0,0.0,0.0,55.0,55.0
2024-03-30,746736,Cincinnati Reds,Washington Nationals,Great American Ball Park,34.55,58.68,24.1,51.0,0.0,8.9,13,6,7,False,NO BET,,,AWAY,AWAY,NO BET,NO BET,WIN,NO BET,6.627250000000001,11.858,8.220666666666666,5.0,30.453500000000002,7.582666666666666,15.934666666666667,5.0,1.01,0,0.0,0.0,55.0,55.0
2024-03-30,745119,Tampa Bay Rays,Toronto Blue Jays,Tropicana Field,43.58,34.48,9.1,53.1,2.0,9.3,6,5,1,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,0.0,14.915999999999999,19.0,6.666666666666666,17.211250000000003,5.5,8.765333333333333,3.0,1.0,0,0.0,0.0,55.0,55.0
2024-03-30,746333,Kansas City Royals,Minnesota Twins,Kauffman Stadium,39.09,56.44,17.3,48.1,0.0,8.7,6,1,5,False,NO BET,,,AWAY,AWAY,NO BET,NO BET,WIN,NO BET,0.0,10.420666666666667,19.0,6.666666666666666,25.1615,9.613999999999999,14.997333333333332,6.666666666666666,1.0,0,0.0,0.0,55.0,55.0
2024-03-30,746087,Miami Marlins,Pittsburgh Pirates,loanDepot park,36.24,45.07,8.8,50.6,0.0,9.1,12,3,9,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,16.54975,9.716666666666667,1.976,5.0,25.823,11.132,1.4439999999999997,6.666666666666666,1.0,0,0.0,0.0,55.0,55.0
2024-03-30,745037,Texas Rangers,Chicago Cubs,Globe Life Field,42.89,47.41,4.5,50.5,0.0,9.0,13,11,2,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,12.58075,8.154666666666666,10.817333333333332,8.333333333333332,20.531000000000002,7.963999999999999,12.248666666666667,6.666666666666666,1.0,0,0.0,0.0,55.0,55.0
2024-03-30,745436,San Diego Padres,San Francisco Giants,Petco Park,40.58,26.06,14.5,56.6,2.0,9.6,15,6,9,False,NO BET,,,HOME,HOME,NO BET,NO BET,LOSS,NO BET,15.226750000000001,9.496666666666666,4.521999999999999,8.333333333333332,2.6460000000000004,15.495333333333331,1.254,6.666666666666666,1.0,0,0.0,0.0,55.0,55.0
2024-03-30,746410,Houston Astros,New York Yankees,Minute Maid Park,43.2,33.7,9.5,53.3,2.0,9.3,8,3,5,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,9.93475,10.031999999999998,15.237999999999998,5.0,13.90375,2.6546666666666665,8.803333333333333,8.333333333333332,1.0,0,0.0,0.0,55.0,55.0
2024-03-30,747221,Arizona Diamondbacks,Colorado Rockies,Chase Field,35.38,34.2,1.2,56.4,3.0,9.6,13,4,9,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,8.61175,7.986,7.4479999999999995,8.333333333333332,7.9502500000000005,8.851333333333333,10.728666666666667,6.666666666666666,1.0,0,0.0,0.0,55.0,55.0
2024-03-30,746168,Los Angeles Dodgers,St. Louis Cardinals,Dodger Stadium,45.54,33.02,12.5,52.9,0.0,9.3,11,5,6,False,NO BET,,,HOME,HOME,NO BET,NO BET,LOSS,NO BET,10.596250000000001,11.352,15.592666666666666,5.0,11.919250000000002,0.0,16.099333333333334,5.0,1.0,0,0.0,0.0,55.0,55.0
2024-03-30,745278,Seattle Mariners,Boston Red Sox,T-Mobile Park,44.37,46.33,2.0,48.8,0.0,8.9,7,4,3,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,3.3075000000000006,12.400666666666666,19.0,6.666666666666666,19.8695,8.36,11.437999999999999,6.666666666666666,1.0,0,0.0,0.0,55.0,55.0
2024-03-31,747062,Baltimore Orioles,Los Angeles Angels,Oriole Park at Camden Yards,41.88,29.41,12.5,54.3,2.0,9.4,5,1,4,False,NO BET,,,HOME,HOME,NO BET,NO BET,LOSS,NO BET,7.288750000000001,7.201333333333333,16.061333333333334,8.333333333333332,10.596250000000001,7.978666666666666,4.167333333333334,6.666666666666666,1.0,0,0.0,0.0,55.0,55.0
2024-03-31,745602,Philadelphia Phillies,Atlanta Braves,Citizens Bank Park,49.17,47.34,1.8,48.0,0.0,8.7,9,5,4,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,32.45025,2.0166666666666666,6.700666666666667,5.0,21.854000000000003,10.391333333333332,12.096666666666668,3.0,1.0,0,0.0,0.0,55.0,55.0
2024-03-31,746739,Cincinnati Reds,Washington Nationals,Great American Ball Park,41.05,30.68,10.4,55.1,2.0,9.4,11,6,5,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,10.596250000000001,14.989333333333333,7.650666666666666,5.0,12.58075,5.844666666666666,5.738,6.666666666666666,1.01,0,0.0,0.0,55.0,55.0
2024-03-31,745115,Tampa Bay Rays,Toronto Blue Jays,Tropicana Field,65.71,76.92,11.2,23.3,-15.0,7.1,11,2,9,False,NO BET,,,NO BET,,UNDER,NO BET,NO BET,LOSS,26.484500000000004,8.887999999999998,19.0,8.333333333333332,39.72675,14.343999999999998,14.516,8.333333333333332,1.0,0,0.0,0.0,55.0,55.0
2024-03-31,746090,Miami Marlins,Pittsburgh Pirates,loanDepot park,76.53,44.29,32.2,41.4,0.0,8.1,16,7,9,False,HOME,HOME,0.6413,NO BET,,NO BET,LOSS,NO BET,NO BET,41.04975,10.237333333333334,17.23933333333333,5.0,14.565250000000002,13.53,9.525333333333332,6.666666666666666,1.0,0,0.0,0.0,55.0,55.0
2024-03-31,745845,New York Mets,Milwaukee Brewers,Citi Field,42.18,51.38,9.2,48.4,0.0,8.8,5,1,4,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,8.61175,12.158666666666665,11.741999999999999,6.666666666666666,19.208000000000002,14.234,11.273333333333333,6.666666666666666,1.0,0,0.0,0.0,55.0,55.0
2024-03-31,746332,Kansas City Royals,Minnesota Twins,Kauffman Stadium,54.83,66.56,11.7,42.5,0.0,8.1,11,11,0,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,14.565250000000002,11.828666666666665,18.772,6.666666666666666,37.08075,8.675333333333333,14.136,6.666666666666666,1.0,0,0.0,0.0,55.0,55.0
2024-03-31,746815,Chicago White Sox,Detroit Tigers,Guaranteed Rate Field,38.71,43.92,5.2,47.4,2.0,8.8,5,2,3,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,5.292000000000001,11.073333333333332,9.677333333333333,6.666666666666666,13.90375,20.349999999999998,0.0,6.666666666666666,1.0,3,0.0,0.0,55.0,55.0
2024-03-31,746413,Houston Astros,New York Yankees,Minute Maid Park,40.08,36.56,3.5,54.6,2.0,9.4,7,3,4,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,9.93475,6.548666666666666,13.933333333333334,6.666666666666666,11.25775,4.319333333333333,12.654,8.333333333333332,1.0,0,0.0,0.0,55.0,55.0
2024-03-31,745035,Texas Rangers,Chicago Cubs,Globe Life Field,48.49,52.06,3.6,49.0,0.0,8.7,14,5,9,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,15.888250000000001,8.558,14.376666666666665,6.666666666666666,21.854000000000003,11.704,10.171333333333331,8.333333333333332,1.0,0,0.0,0.0,55.0,55.0
2024-03-31,745683,Oakland Athletics,Cleveland Guardians,Oakland Coliseum,52.74,38.36,14.4,58.7,0.0,9.3,7,4,3,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET,33.11175,11.352,6.016666666666667,3.0,9.93475,14.872,9.778666666666666,6.666666666666666,1.14,0,0.0,0.0,55.0,55.0
2024-03-31,747222,Arizona Diamondbacks,Colorado Rockies,Chase Field,35.29,42.17,6.9,54.7,2.0,9.4,6,5,1,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,0.0,12.077999999999998,13.540666666666665,6.666666666666666,27.146,10.024666666666667,0.0,5.0,1.0,0,0.0,0.0,55.0,55.0
2024-03-31,745279,Seattle Mariners,Boston Red Sox,T-Mobile Park,36.36,64.63,28.3,47.3,0.0,8.6,6,1,5,False,NO BET,,,AWAY,AWAY,NO BET,NO BET,WIN,NO BET,9.93475,9.518666666666666,10.905999999999999,3.0,25.1615,13.801333333333332,19.0,6.666666666666666,1.0,0,0.0,0.0,55.0,55.0
2024-03-31,745438,San Diego Padres,San Francisco Giants,Petco Park,69.41,35.81,33.6,48.1,0.0,8.6,17,13,4,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET,30.453500000000002,14.74,14.554,6.666666666666666,8.61175,10.347333333333331,10.184,6.666666666666666,1.0,0,0.0,0.0,55.0,55.0
2024-03-31,746166,Los Angeles Dodgers,St. Louis Cardinals,Dodger Stadium,40.19,44.71,4.5,49.9,0.0,9.0,9,5,4,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,10.596250000000001,9.430666666666665,10.500666666666666,6.666666666666666,21.192500000000003,1.1219999999999999,17.391333333333332,5.0,1.0,0,0.0,0.0,55.0,55.0
2024-04-01,746899,Chicago Cubs,Colorado Rockies,Wrigley Field,35.38,43.64,8.3,54.5,2.0,9.3,5,5,0,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,8.61175,7.986,7.4479999999999995,8.333333333333332,15.888250000000001,7.751333333333333,13.338,6.666666666666666,1.0,0,0.0,0.0,55.0,55.0
2024-04-01,744875,Washington Nationals,Pittsburgh Pirates,Nationals Park,39.66,40.99,1.3,52.3,2.0,9.2,12,4,8,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,21.192500000000003,6.387333333333333,6.079999999999999,3.0,15.888250000000001,11.762666666666664,6.675333333333333,6.666666666666666,1.0,0,0.0,0.0,55.0,55.0
2024-04-01,747058,Baltimore Orioles,Kansas City Royals,Oriole Park at Camden Yards,37.62,36.19,1.4,54.3,3.0,9.4,10,6,4,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,11.919250000000002,6.621999999999999,9.411333333333333,6.666666666666666,12.58075,7.267333333333333,9.677333333333333,6.666666666666666,1.0,0,0.0,0.0,55.0,55.0
2024-04-01,745600,Philadelphia Phillies,Cincinnati Reds,Citizens Bank Park,53.44,41.54,11.9,48.2,0.0,8.8,9,3,6,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,20.531000000000002,5.910666666666667,19.0,5.0,19.8695,7.128,7.878666666666666,6.666666666666666,1.0,0,0.0,0.0,55.0,55.0
